Date,Open,High,Low,Close,Adj Close,Volume
2020-11-18,51.509998,52.500000,51.400002,52.209999,50.235531,1923300
2020-11-19,51.939999,52.500000,51.840000,52.490002,50.504944,1482200
2020-11-20,52.450001,52.630001,52.169998,52.619999,50.630024,1298700
2020-11-23,52.939999,53.369999,52.820000,53.349998,51.332417,1464600
2020-11-24,53.990002,54.980000,53.680000,54.799999,52.727577,2042700
2020-11-25,54.270000,54.790001,53.689999,54.689999,52.621738,1413400
2020-11-27,54.389999,55.060001,54.389999,54.610001,52.544769,579700
2020-11-30,54.419998,54.689999,53.349998,53.730000,51.698044,2060700
2020-12-01,54.450001,54.910000,54.410000,54.669998,52.602497,1323500
